2018/11/28 11:01:15 [error] 11443#0: *7914 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:15 [error] 11443#0: *7898 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:15 [error] 11443#0: *7962 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:15 [error] 11443#0: *7821 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:15 [error] 11443#0: *7908 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7797 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7856 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7892 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7882 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7836 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7852 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7966 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:16 [error] 11443#0: *7986 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
